"schema_name","table_name","column_name","data_type","data_type_ext","nullable","default_value","primary_key","foreign_key","unique_key","check_contraint","computed_column_definition","comments"
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_amount,decimal,"decimal(17, 2)",Y,"","","","","",,Obligation amount
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_creator,varchar,varchar(402),Y,"","","","","",,Obligation creator
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_description,varchar,varchar(1000),N,"","","","","",,Obligation description
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_entry_date,datetime,datetime,N,"","","","","",,Obligation entry date
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_entry_type,varchar,varchar(30),N,"","","","","",,Obligation entry type
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_id,int,int,N,"","","","","",,Obligation id
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_item_type,varchar,varchar(50),N,"","","","","",,Obligation item type
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_item_value,varchar,varchar(100),N,"","","","","",,Obligation item value
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_last_updated_date,datetime,datetime,N,"","","","","",,obligation last updated date
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_last_updator,varchar,varchar(402),Y,"","","","","",,Obligation last updator
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_opus_code,varchar,varchar(20),N,"","","","","",,Obligation opus code
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_org_unit_code,varchar,varchar(50),N,"","","","","",,Obligation org unit code
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_vendor,varchar,varchar(402),Y,"","","","","",,Obligation vendor
DATA_CLOSING_ALL,ADB_ADMINISTRATIVE_BUDGET,obligation_year,int,int,Y,"","","","","",,Obligation year
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,adc_code,varchar,varchar(50),N,"","","","","",,Adc code
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bou_code,varchar,varchar(50),N,"","","","","",,Bou code
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_accounting_type,varchar,varchar(50),N,"","","","","",,Bud accounting type
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_amount,decimal,"decimal(15, 5)",N,"","","","","",,Bud amount
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_amount1,decimal,"decimal(17, 5)",Y,"","","","","",,Bud amount1
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_assigned_wbs_element,varchar,varchar(20),Y,"","","","","",,Bud assigned wbs element
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_comment,varchar,varchar(1024),Y,"","","","","",,Bud comment
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_creation_date,datetime,datetime,N,"","","","","",,Bud creation date
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_description,varchar,varchar(1000),N,"","","","","",,Bud description
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_doc_num,varchar,varchar(50),Y,"","","","","",,Bud doc num
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_doc_type,varchar,varchar(50),N,"","","","","",,Bud doc type
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_error_type,varchar,varchar(50),N,"","","","","",,Bud error type
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_executed,decimal,"decimal(38, 2)",Y,"","","","","",,Bud executed
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_fnd,varchar,varchar(10),Y,"","","","","",,Bud fnd
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_for_fix_me,int,int,Y,"","","","","",,Bud for fix me
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_func_area,varchar,varchar(10),Y,"","","","","",,Bud func area
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_id,int,int,N,"","","","","",,Bud id
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_invoice_description,varchar,varchar(50),Y,"","","","","",,Bud invoice description
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_lawson_date,datetime,datetime,Y,"","","","","",,Bud lawson date
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_ref_doc_txt,varchar,varchar(20),Y,"","","","","",,Bud ref doc txt
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_ref_doc_txt2,varchar,varchar(20),Y,"","","","","",,Bud ref doc txt2
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_status,varchar,varchar(50),N,"","","","","",,Bud status
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_update_date,datetime,datetime,N,"","","","","",,Bud update date
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_vendor,varchar,varchar(200),Y,"","","","","",,Bud vendor
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,bud_vendor_number,varchar,varchar(20),Y,"","","","","",,Bud vendor number
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,ops_activity_code,varchar,varchar(20),N,"","","","","",,Ops activity code
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,updator,varchar,varchar(601),N,"","","","","",,Updator
DATA_CLOSING_ALL,BUD_BUDE_INFORMATION,yea_year,int,int,N,"","","","","",,Yea year
DATA_CLOSING_ALL,Data_Activities,COMPONENT_ID,int,int,Y,"","","","","",,Component id
DATA_CLOSING_ALL,Data_Activities,DATA_CREATED_DATE,datetime,datetime,Y,"","","","","",,Data created date
DATA_CLOSING_ALL,Data_Activities,DATA_MONTH,int,int,Y,"","","","","",,Data month
DATA_CLOSING_ALL,Data_Activities,DATA_YEAR,int,int,Y,"","","","","",,Data year
DATA_CLOSING_ALL,Data_Activities,DISBURSED_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Disbursed amount
DATA_CLOSING_ALL,Data_Activities,KNA_APPROVED_FLAG,bit,bit,Y,"","","","","",,Kna approved flag
DATA_CLOSING_ALL,Data_Activities,KNA_COMPONENT_CODE,varchar,varchar(25),Y,"","","","","",,Kna component code
DATA_CLOSING_ALL,Data_Activities,KNA_COMPONENT_NAME,varchar,varchar(8000),Y,"","","","","",,Kna component name
DATA_CLOSING_ALL,Data_Activities,KNA_COMPONENT_TYPE,varchar,varchar(100),Y,"","","","","",,Kna component type
DATA_CLOSING_ALL,Data_Activities,KNA_DEPT,varchar,varchar(25),Y,"","","","","",,Kna dept
DATA_CLOSING_ALL,Data_Activities,KNA_DEPT_ID,int,int,Y,"","","","","",,Kna dept id
DATA_CLOSING_ALL,Data_Activities,KNA_ID,int,int,Y,"","","","","",,Kna id
DATA_CLOSING_ALL,Data_Activities,KNA_KNL_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Kna knl amount
DATA_CLOSING_ALL,Data_Activities,KNA_KNL_APPROVED_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Kna knl approved amount
DATA_CLOSING_ALL,Data_Activities,KNA_KNL_APPROVED_FLAG,bit,bit,Y,"","","","","",,Kna knl approved flag
DATA_CLOSING_ALL,Data_Activities,KNA_KNL_SOURCE_OF_FUNDING,varchar,varchar(200),Y,"","","","","",,Kna knl source of funding
DATA_CLOSING_ALL,Data_Activities,KNA_KNL_STATUS,varchar,varchar(100),Y,"","","","","",,Kna knl status
DATA_CLOSING_ALL,Data_Activities,KNA_KNL_STATUS_CODE,varchar,varchar(100),Y,"","","","","",,Kna knl status code
DATA_CLOSING_ALL,Data_Activities,KNA_KNLOFFICERS,varchar,varchar(1000),Y,"","","","","",,Kna knlofficers
DATA_CLOSING_ALL,Data_Activities,KNA_NAME,varchar,varchar(2000),Y,"","","","","",,Kna name
DATA_CLOSING_ALL,Data_Activities,KNA_OPUS_CODE,varchar,varchar(25),Y,"","","","","",,Kna opus code
DATA_CLOSING_ALL,Data_Activities,KNA_OPUS_ID,int,int,Y,"","","","","",,Kna opus id
DATA_CLOSING_ALL,Data_Activities,KNA_OTHER_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Kna other amount
DATA_CLOSING_ALL,Data_Activities,KNA_OTHER_ENTITY,varchar,varchar(200),Y,"","","","","",,Kna other entity
DATA_CLOSING_ALL,Data_Activities,KNA_OUTPUT_COUNT,int,int,Y,"","","","","",,Kna output count
DATA_CLOSING_ALL,Data_Activities,KNA_STATUS,varchar,varchar(100),Y,"","","","","",,Kna status
DATA_CLOSING_ALL,Data_Activities,KNA_TOTAL_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Kna total amount
DATA_CLOSING_ALL,Data_Activities,KNA_UNIT_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Kna unit amount
DATA_CLOSING_ALL,Data_Activities,KNA_UNIT_ID,int,int,Y,"","","","","",,Kna unit id
DATA_CLOSING_ALL,Data_Activities,KNA_UNIT_NAME,varchar,varchar(25),Y,"","","","","",,Kna unit name
DATA_CLOSING_ALL,Data_Activities,KNA_YEAR,int,int,Y,"","","","","",,Kna year
DATA_CLOSING_ALL,Data_Activities,KND_ID,int,int,Y,"","","","","",,Knd id
DATA_CLOSING_ALL,Data_Activities,KNP_ID,int,int,Y,"","","","","",,Knp id
DATA_CLOSING_ALL,Data_Activities,PROGRAMMED_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Programmed amount
DATA_CLOSING_ALL,Data_Activities,PROGRAMMED_KNL_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Programmed knl amount
DATA_CLOSING_ALL,Data_Activities,PROGRAMMED_OTHER_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Programmed other amount
DATA_CLOSING_ALL,Data_Activities,SECTION_NAME,varchar,varchar(25),Y,"","","","","",,Section name
DATA_CLOSING_ALL,Data_Obligations,DATA_CREATED_DATE,datetime,datetime,Y,"","","","","",,Data created date
DATA_CLOSING_ALL,Data_Obligations,DATA_MONTH,int,int,Y,"","","","","",,Data month
DATA_CLOSING_ALL,Data_Obligations,DATA_YEAR,int,int,Y,"","","","","",,Data year
DATA_CLOSING_ALL,Data_Obligations,EXC_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Exc amount
DATA_CLOSING_ALL,Data_Obligations,KNA_ID,int,int,Y,"","","","","",,Kna id
DATA_CLOSING_ALL,Data_Obligations,OBL_ACCOUNT_CODE,varchar,varchar(50),Y,"","","","","",,Obl account code
DATA_CLOSING_ALL,Data_Obligations,OBL_ACCOUNT_ID,int,int,Y,"","","","","",,Obl account id
DATA_CLOSING_ALL,Data_Obligations,OBL_ACCOUNT_NAME,varchar,varchar(200),Y,"","","","","",,Obl account name
DATA_CLOSING_ALL,Data_Obligations,OBL_AMOUNT,decimal,"decimal(15, 2)",Y,"","","","","",,Obl amount
DATA_CLOSING_ALL,Data_Obligations,OBL_CREATED_DATE,datetime,datetime,Y,"","","","","",,Obl created date
DATA_CLOSING_ALL,Data_Obligations,OBL_CREATOR,varchar,varchar(200),Y,"","","","","",,Obl creator
DATA_CLOSING_ALL,Data_Obligations,OBL_DESCRIPTION,varchar,varchar(1000),Y,"","","","","",,Obl description
DATA_CLOSING_ALL,Data_Obligations,OBL_EMPLOYEE_ID,varchar,varchar(50),Y,"","","","","",,Obl employee id
DATA_CLOSING_ALL,Data_Obligations,OBL_EMPLOYEE_TYPE,varchar,varchar(50),Y,"","","","","",,Obl employee type
DATA_CLOSING_ALL,Data_Obligations,OBL_ITEM_CODE,varchar,varchar(100),Y,"","","","","",,Obl item code
DATA_CLOSING_ALL,Data_Obligations,OBL_ITEM_TYPE,varchar,varchar(100),Y,"","","","","",,Obl item type
DATA_CLOSING_ALL,Data_Obligations,OBL_ITEM_VALUE,varchar,varchar(100),Y,"","","","","",,Obl item value
DATA_CLOSING_ALL,Data_Obligations,OBL_LAST_UPDATED_DATE,datetime,datetime,Y,"","","","","",,Obl last updated date
DATA_CLOSING_ALL,Data_Obligations,OBL_LAWSON_DATE,datetime,datetime,Y,"","","","","",,Obl lawson date
DATA_CLOSING_ALL,Data_Obligations,OBL_OPUS_CODE,varchar,varchar(50),Y,"","","","","",,Obl opus code
DATA_CLOSING_ALL,Data_Obligations,OBL_OPUS_ID,int,int,Y,"","","","","",,Obl opus id
DATA_CLOSING_ALL,Data_Obligations,OBL_ORG_UNIT_CODE,varchar,varchar(100),Y,"","","","","",,Obl org unit code
DATA_CLOSING_ALL,Data_Obligations,OBL_ORG_UNIT_ID,int,int,Y,"","","","","",,Obl org unit id
DATA_CLOSING_ALL,Data_Obligations,OBL_TYPE,varchar,varchar(50),Y,"","","","","",,Obl type
DATA_CLOSING_ALL,Data_Obligations,OBL_TYPE_CODE,varchar,varchar(50),Y,"","","","","",,Obl type code
DATA_CLOSING_ALL,Data_Obligations,OBL_UPDATOR,varchar,varchar(200),Y,"","","","","",,Obl updator
DATA_CLOSING_ALL,Data_Obligations,OBL_VENDOR,varchar,varchar(200),Y,"","","","","",,Obl vendor
DATA_CLOSING_ALL,Data_Obligations,OBL_VENDOR_ID,int,int,Y,"","","","","",,Obl vendor id
DATA_CLOSING_ALL,Data_Obligations,OBL_YEAR,int,int,N,"","","","","",,Obl year
DATA_CLOSING_ALL,Data_Obligations,OBLIGATION_ID,int,int,N,"","","","","",,Obligation id
DATA_CLOSING_ALL,Data_Obligations,OUT_ID,int,int,Y,"","","","","",,Out id
DATA_CLOSING_ALL,Data_Outputs,BUDGET_STATUS_CODE,varchar,varchar(200),Y,"","","","","",,Budget status code
DATA_CLOSING_ALL,Data_Outputs,CLOSED_DATE,datetime,datetime,Y,"","","","","",,Closed date
DATA_CLOSING_ALL,Data_Outputs,CLOSER,varchar,varchar(250),Y,"","","","","",,Closer
DATA_CLOSING_ALL,Data_Outputs,COMMENTS,varchar,varchar(8000),Y,"","","","","",,Comments
DATA_CLOSING_ALL,Data_Outputs,COVERAGE_FROM,datetime,datetime,Y,"","","","","",,Coverage from
DATA_CLOSING_ALL,Data_Outputs,COVERAGE_TO,datetime,datetime,Y,"","","","","",,Coverage to
DATA_CLOSING_ALL,Data_Outputs,data_month,int,int,Y,"","","","","",,Data month
DATA_CLOSING_ALL,Data_Outputs,data_year,int,int,Y,"","","","","",,Data year
DATA_CLOSING_ALL,Data_Outputs,date_created_date,datetime,datetime,Y,"","","","","",,Date created date
DATA_CLOSING_ALL,Data_Outputs,DEADLINE,datetime,datetime,Y,"","","","","",,Deadline
DATA_CLOSING_ALL,Data_Outputs,DISBURSED_AMOUNT_BUDGET,decimal,"decimal(15, 2)",Y,"","","","","",,Disbursed amount budget
DATA_CLOSING_ALL,Data_Outputs,DISBURSED_AMOUNT_SOF,decimal,"decimal(15, 2)",Y,"","","","","",,Disbursed amount sof
DATA_CLOSING_ALL,Data_Outputs,END_DATE,datetime,datetime,Y,"","","","","",,End date
DATA_CLOSING_ALL,Data_Outputs,ESTIMATED_TOTAL_COST,decimal,"decimal(15, 2)",Y,"","","","","",,Estimated total cost
DATA_CLOSING_ALL,Data_Outputs,FINANCED_BY_ASSOCIATED_ACTIVITY,decimal,"decimal(15, 2)",Y,"","","","","",,Financed by associated activity
DATA_CLOSING_ALL,Data_Outputs,FINANCED_BY_OTHER_KNA,decimal,"decimal(15, 2)",Y,"","","","","",,Financed by other kna
DATA_CLOSING_ALL,Data_Outputs,FINANCED_BY_OTHER_SOURCES,decimal,"decimal(15, 2)",Y,"","","","","",,Financed by other sources
DATA_CLOSING_ALL,Data_Outputs,FLOW_CODE,varchar,varchar(200),Y,"","","","","",,Flow code
DATA_CLOSING_ALL,Data_Outputs,FORMAT,varchar,varchar(200),Y,"","","","","",,Format
DATA_CLOSING_ALL,Data_Outputs,item_topic,varchar,varchar(1000),Y,"","","","","",,Item topic
DATA_CLOSING_ALL,Data_Outputs,KNA_ID,int,int,Y,"","","","","",,Kna id
DATA_CLOSING_ALL,Data_Outputs,KNLOFFICERS,varchar,varchar(2000),Y,"","","","","",,Knlofficers
DATA_CLOSING_ALL,Data_Outputs,LOCATION_CITY,varchar,varchar(200),Y,"","","","","",,Location city
DATA_CLOSING_ALL,Data_Outputs,LOCATION_NAME,varchar,varchar(2000),Y,"","","","","",,Location name
DATA_CLOSING_ALL,Data_Outputs,LOCATION_TYPE,varchar,varchar(200),Y,"","","","","",,Location type
DATA_CLOSING_ALL,Data_Outputs,logistic_contact,varchar,varchar(250),Y,"","","","","",,Logistic contact
DATA_CLOSING_ALL,Data_Outputs,LOGISTICS_FLAG,bit,bit,Y,"","","","","",,Logistics flag
DATA_CLOSING_ALL,Data_Outputs,MAX_PARTICIPANTS,int,int,Y,"","","","","",,Max participants
DATA_CLOSING_ALL,Data_Outputs,MODALITY,varchar,varchar(200),Y,"","","","","",,Modality
DATA_CLOSING_ALL,Data_Outputs,MOODLE_ID,int,int,Y,"","","","","",,Moodle id
DATA_CLOSING_ALL,Data_Outputs,NAME,varchar,varchar(2000),Y,"","","","","",,Name
DATA_CLOSING_ALL,Data_Outputs,OBJECTIVES,varchar,varchar(8000),Y,"","","","","",,Objectives
DATA_CLOSING_ALL,Data_Outputs,ONLINE_FLAG,bit,bit,Y,"","","","","",,Online flag
DATA_CLOSING_ALL,Data_Outputs,OPUS_CODE,varchar,varchar(25),Y,"","","","","",,Opus code
DATA_CLOSING_ALL,Data_Outputs,OPUS_NAME,varchar,varchar(800),Y,"","","","","",,Opus name
DATA_CLOSING_ALL,Data_Outputs,OUT_CREATED_DATE,datetime,datetime,Y,"","","","","",,Out created date
DATA_CLOSING_ALL,Data_Outputs,OUT_CREATOR,varchar,varchar(200),Y,"","","","","",,Out creator
DATA_CLOSING_ALL,Data_Outputs,out_deleted_date,datetime,datetime,Y,"","","","","",,Out deleted date
DATA_CLOSING_ALL,Data_Outputs,out_deleted_flag,bit,bit,Y,"","","","","",,Out deleted flag
DATA_CLOSING_ALL,Data_Outputs,OUT_ID,int,int,Y,"","","","","",,Out id
DATA_CLOSING_ALL,Data_Outputs,out_logistic_required_flag,bit,bit,Y,"","","","","",,Out logistic required flag
DATA_CLOSING_ALL,Data_Outputs,OUT_STATUS_CODE,varchar,varchar(200),Y,"","","","","",,Out status code
DATA_CLOSING_ALL,Data_Outputs,OUT_TYPE,varchar,varchar(200),Y,"","","","","",,Out type
DATA_CLOSING_ALL,Data_Outputs,PRESENTATION_TYPE,varchar,varchar(800),Y,"","","","","",,Presentation type
DATA_CLOSING_ALL,Data_Outputs,PRIVATE_REGISTRATION,bit,bit,Y,"","","","","",,Private registration
DATA_CLOSING_ALL,Data_Outputs,PUBLISHED_DATE,datetime,datetime,Y,"","","","","",,Published date
DATA_CLOSING_ALL,Data_Outputs,REGISTRATION_COFINANCING,decimal,"decimal(15, 2)",Y,"","","","","",,Registration cofinancing
DATA_CLOSING_ALL,Data_Outputs,REGISTRATION_FEE,decimal,"decimal(15, 2)",Y,"","","","","",,Registration fee
DATA_CLOSING_ALL,Data_Outputs,SERVICE_ACTIVE_FLAG,bit,bit,Y,"","","","","",,Service active flag
DATA_CLOSING_ALL,Data_Outputs,START_DATE,datetime,datetime,Y,"","","","","",,Start date
DATA_CLOSING_ALL,Data_Outputs,SUBJECT_TYPE,varchar,varchar(800),Y,"","","","","",,Subject type
DATA_CLOSING_ALL,Data_Outputs,TEACHER,varchar,varchar(200),Y,"","","","","",,Teacher
DATA_CLOSING_ALL,Data_Outputs,TOTAL_DURATION,decimal,"decimal(15, 2)",Y,"","","","","",,Total duration
DATA_CLOSING_ALL,Data_Outputs,TOTAL_PARTICIPANTS,int,int,Y,"","","","","",,Total participants
DATA_CLOSING_ALL,Data_Outputs,TRANSACTION_TYPE,varchar,varchar(200),Y,"","","","","",,Transaction type
DATA_CLOSING_ALL,DATA_PERSONS,data_created_date,datetime,datetime,Y,"","","","","",,Data created date
DATA_CLOSING_ALL,DATA_PERSONS,data_month,int,int,Y,"","","","","",,Data month
