"schema_name","view_name","column_name","data_type","data_type_ext","nullable","comments"
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_plan_activity_department,varchar,varchar(3),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_plan_activity_status,varchar,varchar(16),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_plan_activity_type,varchar,varchar(800),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,execution_plan_activity_unit,varchar,varchar(10),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,lawson_date,datetime,datetime,Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_account_code,varchar,varchar(50),N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_account_name,varchar,varchar(200),N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_amount,decimal,"decimal(17, 2)",Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_creator,varchar,varchar(402),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_description,varchar,varchar(1000),N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_entry_date,datetime,datetime,N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_entry_type,varchar,varchar(30),N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_id,int,int,N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_item_type,varchar,varchar(50),N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_item_value,varchar,varchar(100),N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_last_updated_date,datetime,datetime,N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_last_updator,varchar,varchar(402),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_opus_code,varchar,varchar(20),N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_org_unit_code,varchar,varchar(50),N,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_vendor,varchar,varchar(402),Y,
dbo,ADB_ADMINISTRATIVE_BUDGET_VW,obligation_year,int,int,Y,
dbo,AKC_APPROVED_KCPS_VW,activity_count,int,int,Y,
dbo,AKC_APPROVED_KCPS_VW,approved_amount,decimal,"decimal(38, 2)",Y,
dbo,AKC_APPROVED_KCPS_VW,disbursed_amount,decimal,"decimal(38, 2)",Y,
dbo,AKC_APPROVED_KCPS_VW,opus_code,varchar,varchar(10),N,
dbo,AKC_APPROVED_KCPS_VW,programmed_amount,decimal,"decimal(38, 2)",Y,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,ACTIVITYCODE,varchar,varchar(34),Y,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,CITY,varchar,varchar(500),Y,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,DURATION,decimal,"decimal(15, 1)",Y,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,LENGUAGES,varchar,varchar(500),Y,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,LOCATION,varchar,varchar(500),Y,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,OBJECTIVES,varchar,varchar(8000),N,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,OPUSCODE,varchar,varchar(500),Y,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,OPUSDESCRIPTION,varchar,varchar(500),Y,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,OUTPUTID,int,int,N,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,TARGETAUDIENCE,varchar,varchar(500),Y,
dbo,ALL_DEP_OUTPUTS_BASIC_INFO_VW ,TOPICS,varchar,varchar(500),Y,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,ACTIVITYCODE,varchar,varchar(34),Y,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,CITY,varchar,varchar(500),Y,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,DURATION,decimal,"decimal(15, 1)",Y,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,LENGUAGES,varchar,varchar(500),Y,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,LOCATION,varchar,varchar(500),Y,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,OBJECTIVES,varchar,varchar(8000),N,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,OPUSCODE,varchar,varchar(500),Y,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,OPUSDESCRIPTION,varchar,varchar(500),Y,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,OUTPUTID,int,int,N,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,TARGETAUDIENCE,varchar,varchar(500),Y,
dbo,ALL_LNG_OUTPUTS_BASIC_INFO_VW,TOPICS,varchar,varchar(500),Y,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,ACTIVITYCODE,varchar,varchar(34),Y,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,CITY,varchar,varchar(500),Y,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,DURATION,decimal,"decimal(15, 1)",Y,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,LENGUAGES,varchar,varchar(500),Y,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,LOCATION,varchar,varchar(500),Y,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,OBJECTIVES,varchar,varchar(8000),N,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,OPUSCODE,varchar,varchar(500),Y,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,OPUSDESCRIPTION,varchar,varchar(500),Y,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,OUTPUTID,int,int,N,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,TARGETAUDIENCE,varchar,varchar(500),Y,
dbo,ALL_OUTPUTS_BASIC_INFO_VW,TOPICS,varchar,varchar(500),Y,
dbo,ANB_APPROVED_NEEDS_BWP_VW,activity_count,int,int,Y,
dbo,ANB_APPROVED_NEEDS_BWP_VW,approved_amount,decimal,"decimal(38, 6)",Y,
dbo,ANB_APPROVED_NEEDS_BWP_VW,disbursed_amount,decimal,"decimal(38, 2)",Y,
dbo,ANB_APPROVED_NEEDS_BWP_VW,opus_code,varchar,varchar(10),N,
dbo,ANB_APPROVED_NEEDS_BWP_VW,programmed_amount,decimal,"decimal(38, 2)",Y,
dbo,ANE_APPROVED_NEEDS_VW,activity_count,int,int,Y,
dbo,ANE_APPROVED_NEEDS_VW,approved_amount,decimal,"decimal(38, 6)",Y,
dbo,ANE_APPROVED_NEEDS_VW,disbursed_amount,decimal,"decimal(38, 2)",Y,
dbo,ANE_APPROVED_NEEDS_VW,opus_code,varchar,varchar(10),N,
dbo,ANE_APPROVED_NEEDS_VW,programmed_amount,decimal,"decimal(38, 2)",Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,consultant_id,varchar,varchar(50),Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,lawson_date,datetime,datetime,Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_account_code,varchar,varchar(50),N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_account_name,varchar,varchar(200),N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_amount,decimal,"decimal(17, 2)",Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_creator,varchar,varchar(402),Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_description,varchar,varchar(1000),N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_entry_date,datetime,datetime,N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_entry_type,varchar,varchar(30),N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_id,int,int,N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_item_type,varchar,varchar(50),N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_item_value,varchar,varchar(100),N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_last_updated_date,datetime,datetime,N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_last_updator,varchar,varchar(402),Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_opus_code,varchar,varchar(10),N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_org_unit_code,varchar,varchar(50),N,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_plan_activity,int,int,Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_plan_activity_approved_amount,decimal,"decimal(38, 2)",Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_plan_activity_department,varchar,varchar(3),Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_plan_activity_status,varchar,varchar(16),Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_plan_activity_type,varchar,varchar(800),Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_plan_activity_unit,varchar,varchar(10),Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_vendor,varchar,varchar(402),Y,
dbo,AOB_ADMINISTRATIVE_OBLIGATED_BUDGET_VW,obligation_year,int,int,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,activity_approved_amount,decimal,"decimal(38, 2)",Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,activity_department,varchar,varchar(3),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,activity_id,int,int,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,activity_status,varchar,varchar(16),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,activity_type,varchar,varchar(800),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,activity_unit,varchar,varchar(10),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,activity_year,int,int,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,adc_code,varchar,varchar(50),N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bio_executed,decimal,"decimal(38, 2)",Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bou_code,varchar,varchar(50),N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_accounting_type,varchar,varchar(50),N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_amount,decimal,"decimal(15, 5)",N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_comment,varchar,varchar(1024),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_creation_date,datetime,datetime,N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_description,varchar,varchar(1000),N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_doc_num,varchar,varchar(50),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_doc_type,varchar,varchar(50),N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_e_date,datetime,datetime,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_e_id,int,int,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_error_type,varchar,varchar(50),N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_executed,decimal,"decimal(38, 2)",Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_for_fix_me,int,int,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_id,int,int,N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_invoice_description,varchar,varchar(50),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_lawson_date,datetime,datetime,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_status,varchar,varchar(50),N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,bud_update_date,datetime,datetime,N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,consultant_id,varchar,varchar(50),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_amount,decimal,"decimal(17, 2)",Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_classification,varchar,varchar(800),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_creator,varchar,varchar(402),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_description,varchar,varchar(800),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_entry_date,datetime,datetime,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_epay_flag,bit,bit,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_id,int,int,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_invoce_date,datetime,datetime,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_last_updated_date,datetime,datetime,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,execution_last_updator,varchar,varchar(402),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,lawson_date,datetime,datetime,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_account_code,varchar,varchar(50),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_account_name,varchar,varchar(200),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_amount,decimal,"decimal(17, 2)",Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_creator,varchar,varchar(402),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_description,varchar,varchar(1000),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_entry_date,datetime,datetime,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_entry_type,varchar,varchar(30),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_id,int,int,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_item_type,varchar,varchar(50),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_item_value,varchar,varchar(100),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_last_updated_date,datetime,datetime,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_last_updator,varchar,varchar(402),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_opus_code,varchar,varchar(10),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_org_unit_code,varchar,varchar(50),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_vendor,varchar,varchar(402),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,obligation_year,int,int,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,ops_activity_code,varchar,varchar(10),N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_budget_category,varchar,varchar(800),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_budget_category_amount,decimal,"decimal(15, 2)",Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_created_date,datetime,datetime,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_id,int,int,Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_modality,varchar,varchar(50),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_opus_code,varchar,varchar(10),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_presentation_type,varchar,varchar(800),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_reviewed_amount,decimal,"decimal(15, 2)",Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_type,varchar,varchar(50),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,output_unit,varchar,varchar(10),Y,
dbo,BEE_BUD_E_EXECUTION_2014_VW,updator,varchar,varchar(601),N,
dbo,BEE_BUD_E_EXECUTION_2014_VW,yea_year,int,int,N,
dbo,BFH_BALANCE_FHL_VW,ACCOUNT,varchar,varchar(253),N,
dbo,BFH_BALANCE_FHL_VW,BALANCE,decimal,"decimal(38, 2)",Y,
dbo,BFH_BALANCE_FHL_VW,BUDGET_LINES,int,int,Y,
dbo,BFH_BALANCE_FHL_VW,DESCRIPTION,varchar,varchar(1000),N,
dbo,BFH_BALANCE_FHL_VW,MONTH,nvarchar,nvarchar(30),Y,
dbo,BFH_BALANCE_FHL_VW,OPUS_CODE,varchar,varchar(10),N,
dbo,BFH_BALANCE_FHL_VW,ORG_UNIT,varchar,varchar(50),N,
dbo,BFH_BALANCE_FHL_VW,VENDOR,varchar,varchar(402),Y,
dbo,BFH_BALANCE_FHL_VW,YEAR,int,int,Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,ADC_CODE,varchar,varchar(50),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,BALANCE,decimal,"decimal(38, 2)",Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,BIE_ITEM_COST,decimal,"decimal(38, 2)",Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,BIO_DESCRIPTION,varchar,varchar(800),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,BIO_ENTRY_DATE,datetime,datetime,N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,BIO_ID,int,int,N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,BIO_ITEM_COST,decimal,"decimal(17, 2)",Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,BIO_ITEM_TYPE,varchar,varchar(50),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,BIO_ITEM_TYPE_VALUE,varchar,varchar(100),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,BOU_CODE,varchar,varchar(50),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,KNA_ID,int,int,N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,obligation_vendor,varchar,varchar(402),Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,OPS_ACTIVITY_CODE,varchar,varchar(10),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,OUT_ID,int,int,N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,OUT_NAME,varchar,varchar(2000),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW,YEA_ID_YEAR,int,int,Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,ADC_CODE,varchar,varchar(50),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,BALANCE,decimal,"decimal(38, 2)",Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,BIE_ITEM_COST,decimal,"decimal(38, 2)",Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,BIO_DESCRIPTION,varchar,varchar(1000),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,BIO_ENTRY_DATE,datetime,datetime,N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,BIO_ID,int,int,N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,BIO_ITEM_COST,decimal,"decimal(17, 2)",Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,BIO_ITEM_TYPE,varchar,varchar(50),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,BIO_ITEM_TYPE_VALUE,varchar,varchar(100),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,BOU_CODE,varchar,varchar(50),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,KNA_ID,int,int,N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,obligation_vendor,varchar,varchar(402),Y,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,OPS_ACTIVITY_CODE,varchar,varchar(10),N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,OUT_ID,int,int,N,
dbo,BIR_BUDGET_ITEM_OUTPUT_RELATION_VW_2013,OUT_NAME,varchar,varchar(2000),N,
